run_id,p4_program,topology,n_switches,n_entries_per_switch,operation,mode,repetition,schedule_index,success_count,failure_count,wall_clock_s,entries_per_second
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,insert,sync,2,68,20,0,0.021326433983631432,937.8032921655115
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,insert,sync,3,94,20,0,0.023922093998407945,836.0472123105542
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,insert,sync,4,125,20,0,0.023431943991454318,853.5356693961903
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,async,0,24,20,0,0.004913340002531186,4070.550784129875
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,async,1,84,20,0,0.004882407985860482,4096.339359168726
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,async,2,31,20,0,0.0050172329938504845,3986.2609578852675
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,async,3,126,20,0,0.006962508981814608,2872.5277126734118
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,async,4,148,20,0,0.004599271982442588,4348.514303208999
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,sync,0,173,20,0,0.0023543120187241584,8495.050715851308
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,sync,1,136,20,0,0.0020754290162585676,9636.561811231946
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,sync,2,12,20,0,0.0021434230147860944,9330.869297396213
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,sync,3,130,20,0,0.002114742004778236,9457.418424947451
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,sync,4,30,20,0,0.0023970730253495276,8343.508849541084
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,async,0,190,200,0,0.07751178598846309,2580.2527634928724
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,async,1,178,200,0,0.07757427802425809,2578.1741718235317
