rate_mbps,n_reps,probes_sent_total,probes_received_total,probe_loss_pooled_pct,actual_offered_mbps_median,actual_offered_mbps_min,actual_offered_mbps_max,achieved_mbps_median,achieved_mbps_min,achieved_mbps_max,achieved_to_actual_offered_pct_median,achieved_to_actual_offered_pct_min,achieved_to_actual_offered_pct_max,achieved_to_nominal_pct_median,achieved_to_nominal_pct_min,achieved_to_nominal_pct_max,sender_pps_median,sender_pps_min,sender_pps_max,receiver_pps_median,receiver_pps_min,receiver_pps_max,iperf_receiver_loss_pct_median,iperf_receiver_loss_pct_min,iperf_receiver_loss_pct_max,probe_loss_pct_median,probe_loss_pct_min,probe_loss_pct_max,latency_median_us_median,latency_median_us_min,latency_median_us_max,latency_p99_us_median,latency_p99_us_min,latency_p99_us_max,bmv2_cpu_mean_pct_median,bmv2_cpu_mean_pct_min,bmv2_cpu_mean_pct_max,bmv2_cpu_p95_pct_median,bmv2_cpu_p95_pct_min,bmv2_cpu_p95_pct_max,system_cpu_mean_pct_median,system_cpu_mean_pct_min,system_cpu_mean_pct_max,system_cpu_p95_pct_median,system_cpu_p95_pct_min,system_cpu_p95_pct_max
10,5,5000,5000,0.0,9.835937889085157,9.835745969528821,9.836133749279549,9.99986620485984,9.835949537542328,10.00005521797632,101.66471093590911,100.00011842751859,101.66839576114636,99.99866204859839,98.35949537542328,100.00055217976319,863.2776737574266,863.2769736285215,863.2788555438532,863.261779694335,863.2481185134529,863.2644352534805,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,104.0,210.04999999999995,206.13999999999987,234.03999999999996,14.757929883138564,14.323706176961602,14.991986644407346,20.0,20.0,20.0,7.933388981636059,7.074791318864773,11.503672787979966,10.6,9.0,13.310000000000002
25,5,5000,5000,0.0,24.590509713658182,24.58980611603272,25.000368364464013,24.590160930716653,24.589789465101163,24.99997495483493,99.99840771053215,98.35770860102024,101.66645564168132,98.36064372286661,98.35915786040465,99.99989981933972,2158.166630219586,2158.165035218634,2158.1809706892277,2158.1464486358004,2158.1307869422976,2158.148388713747,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,104.0,254.07999999999993,217.01,276.0999999999999,24.24006677796327,24.183166666666665,24.874958263772957,30.0,30.0,30.0,8.804173622704507,7.17262103505843,12.2008347245409,10.9,9.2,14.9
50,5,5000,5000,0.0,49.18029547908028,49.180127298543105,49.18106296603166,49.99968218903115,49.18016016826643,49.99993575360454,101.66451160277573,100.00006683537667,101.66653734144371,99.9993643780623,98.36032033653287,99.99987150720908,4316.356847225415,4316.292488168615,4316.372785149162,4316.292796409231,4316.270907202274,4316.295372978958,0.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,105.0,282.1899999999998,261.01,379.3099999999997,41.285976627712856,40.13272120200334,45.04140233722871,50.0,50.0,50.1,10.031385642737897,8.707011686143572,13.323539232053422,12.730000000000006,11.1,15.8
75,5,5000,4995,0.10000000000000009,73.77149230611907,73.77000261398682,75.00108072966908,74.99528769487705,73.76957570603301,74.9998791925826,99.99937031686878,98.35801696234904,101.66673193605493,99.99371692650274,98.35943427471068,99.99983892344346,6474.466666666666,6474.458611506565,6474.5408088457425,6474.392564918791,6474.040719516319,6474.437084995045,0.0007722663701163805,0.0,0.006178130960931044,0.10000000000000009,0.0,0.20000000000000018,110.0,108.0,115.0,411.1299999999999,359.37999999999965,522.3599999999997,69.61435726210351,69.01485809682805,72.18764607679466,80.0,80.0,90.0,19.907011686143573,13.525375626043408,21.407679465776294,22.51,16.320000000000004,25.0
100,5,5000,3665,26.700000000000003,99.99997531843319,98.35974236613347,100.00147812695046,99.98928514060019,98.35383552196815,99.9929556870098,99.9893098195285,98.35556918097892,101.65984643420934,99.98928514060019,98.35383552196816,99.9929556870098,8632.622807422047,8632.611221078907,8632.724285821,8631.988577953194,8631.688381129745,8632.067122297076,0.006950397331047425,0.006076845509496021,0.010425595996571137,27.1,22.199999999999996,28.700000000000003,115.0,112.0,116.0,478.84000000000015,465.00000000000045,531.16,89.95141903171954,87.64540901502504,90.26828046744575,100.0,100.0,100.0,23.815025041736227,14.927045075125207,27.304674457429048,26.310000000000002,17.4,29.5
