run_id,p4_program,packet_size_bytes,background_load_mbps,probe_layer,cold_idle_reference,n_probes,probe_interval_ms,n_reps,probes_sent_median,probes_sent_min,probes_sent_max,probes_received_median,probes_received_min,probes_received_max,probes_lost_median,probes_lost_min,probes_lost_max,probe_loss_pct_median,probe_loss_pct_min,probe_loss_pct_max,median_us_median,median_us_min,median_us_max,iqr_us_median,iqr_us_min,iqr_us_max,p99_us_median,p99_us_min,p99_us_max
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,64,1,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,103.0,109.0,10.25,10.0,19.0,171.2299999999998,155.02999999999997,220.19999999999982
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,64,25,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,102.0,104.0,14.0,9.25,17.0,193.08999999999992,185.05999999999995,219.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,64,45,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,104.0,19.0,18.0,20.0,255.02999999999997,253.0,275.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,256,1,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,104.0,105.0,11.0,9.0,11.0,194.06999999999994,167.01,227.1099999999999
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,256,25,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,102.0,104.0,13.25,12.0,17.25,199.01,195.02999999999997,225.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,256,45,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,102.0,103.0,21.0,18.0,23.0,283.0,265.01,310.1399999999999
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,1500,1,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,104.0,117.0,10.0,10.0,27.0,170.0,160.02999999999997,394.6499999999994
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,1500,25,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,101.0,103.0,10.0,10.0,12.0,191.0,183.01,194.01999999999998
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_acl,1500,45,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,104.0,20.25,20.0,32.0,285.05999999999995,262.01,392.0999999999999
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,64,1,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,97.0,111.0,12.0,11.0,21.25,183.08999999999992,162.12999999999988,239.06999999999994
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,64,25,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,96.0,13.0,10.0,14.0,175.01,169.01,187.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,64,45,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,999.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.1,96.0,95.0,96.0,18.0,14.0,20.0,216.01,209.0,224.03999999999996
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,256,1,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,97.0,102.0,9.0,8.0,11.25,159.01,146.0,180.01999999999998
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,256,25,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,95.0,98.0,13.0,11.0,19.25,185.0,173.0,265.03999999999996
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,256,45,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,999.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.1,95.0,94.0,97.0,14.0,13.0,20.0,219.03999999999996,208.02999999999997,224.01999999999998
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,1500,1,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,101.0,11.0,9.0,13.0,158.01,147.01,172.06999999999994
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,1500,25,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,97.0,12.0,10.0,14.25,178.03999999999996,169.01,197.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm_int,1500,45,l3,False,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,999.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.1,97.0,96.0,99.0,19.0,14.0,19.0,220.0,199.05999999999995,252.25999999999976
