rate_mbps,n_reps,probes_sent_total,probes_received_total,probe_loss_pooled_pct,actual_offered_mbps_median,actual_offered_mbps_min,actual_offered_mbps_max,achieved_mbps_median,achieved_mbps_min,achieved_mbps_max,achieved_to_actual_offered_pct_median,achieved_to_actual_offered_pct_min,achieved_to_actual_offered_pct_max,achieved_to_nominal_pct_median,achieved_to_nominal_pct_min,achieved_to_nominal_pct_max,sender_pps_median,sender_pps_min,sender_pps_max,receiver_pps_median,receiver_pps_min,receiver_pps_max,iperf_receiver_loss_pct_median,iperf_receiver_loss_pct_min,iperf_receiver_loss_pct_max,probe_loss_pct_median,probe_loss_pct_min,probe_loss_pct_max,latency_median_us_median,latency_median_us_min,latency_median_us_max,latency_p99_us_median,latency_p99_us_min,latency_p99_us_max,bmv2_cpu_mean_pct_median,bmv2_cpu_mean_pct_min,bmv2_cpu_mean_pct_max,bmv2_cpu_p95_pct_median,bmv2_cpu_p95_pct_min,bmv2_cpu_p95_pct_max,system_cpu_mean_pct_median,system_cpu_mean_pct_min,system_cpu_mean_pct_max,system_cpu_p95_pct_median,system_cpu_p95_pct_min,system_cpu_p95_pct_max
10,5,5000,5000,0.0,10.000078414239175,9.999694963134747,10.000626622427472,9.999925181818675,9.999807684285791,10.000162120363477,100.0007553956541,99.99298603342291,100.0011272458956,99.99925181818675,99.99807684285791,100.00162120363477,863.2664376932989,863.2500025726855,863.3004759746434,863.2532097564464,863.2430666683177,863.2736637054107,0.0,0.0,0.0,0.0,0.0,0.0,92.0,89.0,97.0,290.04999999999995,177.03999999999996,336.02,15.584333333333332,15.133666666666668,16.00016666666667,30.0,20.0,30.0,7.011686143572621,6.646744574290484,9.128166666666667,8.2,7.5,14.8
25,5,5000,5000,0.0,25.000371971212115,24.999574740698424,25.001109329657183,25.000418234463158,24.999820308267033,25.00079401149875,100.00074814854734,99.99723574188285,100.00146481391359,100.00167293785263,99.99928123306815,100.003176045995,2158.184901591155,2158.1203820453306,2158.26160262575,2158.185275765121,2158.133659208135,2158.217715081039,0.0,0.0,0.0,0.0,0.0,0.0,96.0,94.0,101.0,190.04999999999995,171.01999999999998,272.27999999999975,22.0,21.950166666666668,26.076961602671116,30.0,30.0,39.910000000000004,12.55575959933222,6.712333333333333,15.220033388981637,13.8,7.1,16.9
50,5,5000,5000,0.0,50.00076181290408,49.999251751303355,50.00582164121367,49.99992850172856,49.99921792619327,50.00070906207668,99.99975462795005,99.98780089872824,100.00134289146595,99.99985700345712,99.99843585238654,100.00141812415335,4316.347440120159,4316.300415922344,4316.800901347865,4316.307623826419,4316.292170384027,4316.359553010763,0.0,0.0,0.0,0.0,0.0,0.0,96.0,95.0,105.0,234.03999999999996,213.01,324.02,35.516333333333336,35.342404006677796,43.95659432387312,50.0,40.0,60.1,12.701166666666666,8.287145242070117,19.071786310517528,13.6,9.7,20.7
75,5,5000,4995,0.10000000000000009,74.9982886668604,74.99610261940789,74.99983215706266,74.99867792936926,74.99499938155769,75.00004653239283,100.00051902852157,99.99787397044472,100.00340471778877,99.99823723915902,99.99333250874359,100.00006204319044,6474.449691274181,6474.111068664356,6474.453473167495,6474.431088645806,6474.032497254784,6474.451530765955,0.0,0.0,0.005920739320144672,0.10000000000000009,0.0,0.20000000000000018,103.0,93.0,108.0,384.05999999999995,293.03999999999996,418.03999999999996,60.34958263772954,50.76794657762938,66.50968280467447,70.0,60.0,80.0,13.697328881469117,11.979966611018364,21.754090150250416,15.3,13.5,23.6
100,5,5000,4418,11.639999999999995,99.99986212195181,99.99715908882641,100.00023489710716,99.9946088914322,99.99236808208416,99.99693641938927,99.99437400754033,99.9928300525299,99.99796789594106,99.9946088914322,99.99236808208416,99.99693641938927,8632.599022368304,8632.58477405135,8632.61696280276,8632.242689053986,8632.08785246839,8632.432218511713,0.004054398443110998,0.0021237284176099562,0.005212747677913974,12.2,5.700000000000005,17.100000000000005,98.0,97.0,99.0,392.96000000000015,388.9200000000001,398.32000000000016,78.79749582637729,78.43333333333334,80.05041736227045,90.0,80.1,90.0,13.942000000000002,13.42838063439065,20.762771285475793,15.0,13.9,22.2
