p4_program,topology,n_switches,background_load_mbps,source_workload_type,metric,n_samples,mean,max,std,p5,p95
l2_forward,single_switch,1,0,latency_l2,cpu_percent_per_bmv2,99,0.7060606060606062,19.9,2.939277232475808,0.0,10.0
l2_forward,single_switch,1,0,latency_l2,cpu_percent_total,99,1.1999999999999997,7.6,1.7403377575068817,0.0,6.3
l2_forward,single_switch,1,0,latency_l2,net_io_pps_per_iface,99,10.100955568892196,20.038372280606033,8.86332014106085,0.0,20.01366881553878
l2_forward,single_switch,1,0,latency_l2,rss_per_bmv2_bytes,99,42136338.1010101,42205184.0,82352.8584673586,41943040.0,42205184.0
l2_forward,single_switch,1,1,latency_l2,cpu_percent_per_bmv2,1924,2.1419438669438673,20.4,4.266481311582045,0.0,10.0
l2_forward,single_switch,1,1,latency_l2,cpu_percent_total,1924,6.864189189189189,17.2,0.9325128167893507,6.2,8.2
l2_forward,single_switch,1,1,latency_l2,net_io_pps_per_iface,1924,104.96723919807312,6123.848708573054,137.55134995248213,89.9600752687847,110.07392873432525
l2_forward,single_switch,1,1,latency_l2,rss_per_bmv2_bytes,1924,41724495.83367983,41943040.0,163524.05073226726,41549824.0,41943040.0
l2_forward,single_switch,1,25,latency_l2,cpu_percent_per_bmv2,1925,18.91922077922078,39.9,4.657533009825452,10.0,30.0
l2_forward,single_switch,1,25,latency_l2,cpu_percent_total,1925,7.907948051948051,18.4,1.6964173442970354,6.5,11.0
l2_forward,single_switch,1,25,latency_l2,net_io_pps_per_iface,1925,2184.2731869904746,15810.77661024604,372.9871512403192,2159.7333766132742,2181.5523490461837
l2_forward,single_switch,1,25,latency_l2,rss_per_bmv2_bytes,1925,41899190.45818182,42205184.0,269377.0367476328,41549824.0,42205184.0
l2_forward,single_switch,1,45,latency_l2,cpu_percent_per_bmv2,1927,26.092942397509084,80.1,7.2720086689519,20.0,40.0
l2_forward,single_switch,1,45,latency_l2,cpu_percent_total,1927,11.023715620134926,37.7,2.439558694341242,7.2,14.269999999999982
l2_forward,single_switch,1,45,latency_l2,net_io_pps_per_iface,1927,3905.380673286752,21561.9474848193,421.92687486286053,3870.1440047841866,3931.32737519697
l2_forward,single_switch,1,45,latency_l2,rss_per_bmv2_bytes,1927,42162128.1743643,42467328.0,432402.76922822726,41549824.0,42467328.0
l3_lpm,linear_n,1,0,control_plane,cpu_percent_per_bmv2,140,16.739285714285714,40.7,15.220549798767875,0.0,40.0
l3_lpm,linear_n,1,0,control_plane,cpu_percent_total,140,4.286428571428571,9.1,3.2628982728160785,0.5,8.004999999999999
l3_lpm,linear_n,1,0,control_plane,net_io_pps_per_iface,140,0.0,0.0,0.0,0.0,0.0
l3_lpm,linear_n,1,0,control_plane,rss_per_bmv2_bytes,140,41991723.885714285,42860544.0,298452.6798616343,41549824.0,42473881.599999994
l3_lpm,linear_n,2,0,control_plane,cpu_percent_per_bmv2,440,24.086136363636363,166.6,19.653702719752246,0.0,51.7
l3_lpm,linear_n,2,0,control_plane,cpu_percent_total,440,6.004545454545453,13.4,4.021330061671084,0.6,11.904999999999996
l3_lpm,linear_n,2,0,control_plane,net_io_pps_per_iface,440,0.0,0.0,0.0,0.0,0.0
l3_lpm,linear_n,2,0,control_plane,rss_per_bmv2_bytes,440,84249804.8,87162880.0,678471.5448990744,83230720.0,85196800.0
l3_lpm,linear_n,4,0,control_plane,cpu_percent_per_bmv2,743,30.93324360699865,145.7,20.326925993060737,0.0,66.19
l3_lpm,linear_n,4,0,control_plane,cpu_percent_total,743,7.335531628532975,15.2,3.5558618634099486,0.7,12.6
l3_lpm,linear_n,4,0,control_plane,net_io_pps_per_iface,743,0.0,0.0,0.0,0.0,0.0
l3_lpm,linear_n,4,0,control_plane,rss_per_bmv2_bytes,743,168127271.6231494,173539328.0,1232697.5943086825,166461440.0,170249420.8
l3_lpm,linear_n,4,1,resource_only,cpu_percent_per_bmv2,601,5.9425956738768715,40.0,7.359989758909173,0.0,20.0
l3_lpm,linear_n,4,1,resource_only,cpu_percent_total,601,7.00782029950083,21.7,0.8803912431341213,6.3,8.1
