run_id,p4_program,topology,n_switches,n_entries_per_switch,operation,mode,n_reps,wall_clock_s_median,wall_clock_s_min,wall_clock_s_max,entries_per_second_median,entries_per_second_min,entries_per_second_max
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,1,10,insert,sync,5,0.014195605996064842,0.008027627016417682,0.017107866995502263,704.443332871601,584.5264054618291,1245.698134647826
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,1,10,read,sync,5,0.001556760020321235,0.0011135159875266254,0.002103037986671552,6423.597644765129,4755.025854681235,8980.562571187053
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,1,100,insert,sync,5,0.060480096988612786,0.05017658101860434,0.06098815600853413,1653.436501909513,1639.6626254121686,1992.961616155598
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,1,100,read,sync,5,0.005352010019123554,0.00510649400530383,0.005881764984223992,18684.568908257763,17001.6993654488,19582.90754794495
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,1,1000,insert,sync,5,0.49895697899046354,0.49080080701969564,0.518984188005561,2004.1808053738291,1926.8409772616903,2037.48646232334
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,1,1000,read,sync,5,0.04585819601197727,0.04557103000115603,0.06453882399364375,21806.352778003293,15494.549452876416,21943.7655891173
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,insert,async,5,0.017247938987566158,0.014779824996367097,0.02192703098990023,1159.5588327635999,912.1161916181065,1353.1959955490697
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,insert,sync,5,0.021326433983631432,0.016683958005160093,0.023922093998407945,937.8032921655115,836.0472123105542,1198.756313928284
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,async,5,0.004913340002531186,0.004599271982442588,0.006962508981814608,4070.550784129875,2872.5277126734118,4348.514303208999
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,10,read,sync,5,0.0021434230147860944,0.0020754290162585676,0.0023970730253495276,9330.869297396213,8343.508849541084,9636.561811231946
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,async,5,0.07757427802425809,0.07696596599998884,0.07821530499495566,2578.1741718235317,2557.044302427749,2598.5511570143744
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,sync,5,0.11124427599133924,0.11047460799454711,0.12057640301645733,1797.8453113000683,1658.6993391460037,1810.3707596760312
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,async,5,0.012321358983172104,0.011910243018064648,0.013605554995592684,16231.97573199109,14699.878106022652,16792.268612542463
