n_switches,n_entries_per_switch,operation,mode,n_reps,mean_s,std_s,median_s,p25_s,p75_s,median_entries_per_sec
1,10,insert,sync,10,0.012807479398907163,0.0025206495208377694,0.012520582997240126,0.011571467985049821,0.014557637005054858,799.168380027705
1,10,read,sync,10,0.001620993996039033,0.0005085079289141193,0.0015929429937386885,0.001189412985695526,0.0019653107374324463,6277.774500787285
1,100,insert,sync,10,0.05922095820133109,0.007885090066312075,0.05994063999969512,0.05200795125711011,0.06393747025867924,1669.35021446649
1,100,read,sync,10,0.006437018208089285,0.003825300467853848,0.004902820015558973,0.00484859649441205,0.005277765514620114,20396.626296181283
1,1000,insert,sync,10,0.4604684411053313,0.008656548028539443,0.45697403750091325,0.4559584000162431,0.4644246655225288,2188.3081402972775
1,1000,read,sync,10,0.05127018109196797,0.00815291245619977,0.05555992499284912,0.04260539273673203,0.05643539049196988,17998.78924365936
2,10,insert,async,10,0.020844790601404383,0.003957513371339019,0.021255376006592996,0.01800143424043199,0.02400306499475846,940.9874366046367
2,10,insert,sync,10,0.01915536850283388,0.003531153014897491,0.01887429850467015,0.01796983274834929,0.020754762248543557,1059.6438640088527
2,10,read,async,10,0.006609472594573162,0.0020662387492130702,0.005653759493725374,0.005309115505951922,0.0071881127514643595,3537.5085997206293
2,10,read,sync,10,0.0026662414020393044,0.000878002935847886,0.0023408924898831174,0.002131580506102182,0.002940391015727073,8572.13838584329
2,100,insert,async,10,0.06986612869950477,0.004835513782702167,0.06948607650701888,0.06617530975927366,0.07425149798655184,2878.9351525996603
2,100,insert,sync,10,0.10878580829303246,0.011852094524658078,0.10677615999884438,0.09933260024990886,0.11547784849244636,1873.253811403123
2,100,read,async,10,0.015754064300563187,0.00619634414767469,0.01304070650076028,0.01248855975427432,0.013930842993431725,15340.065419812803
2,100,read,sync,10,0.011297492397716269,0.004686298676421076,0.009914064488839358,0.0093979869998293,0.01031445150874788,20174.78725989656
2,1000,insert,async,10,0.6066464053001255,0.02204401940362856,0.611946244011051,0.599405278750055,0.6223010882531526,3268.2977298592405
2,1000,insert,sync,10,0.9167753519956022,0.02081547023379124,0.9160505195031874,0.9072962172431289,0.921261198745924,2183.28570036129
2,1000,read,async,10,0.10379858390660957,0.006474857766872474,0.10156307801662479,0.09896338200633181,0.10992921425349778,19694.88671755202
2,1000,read,sync,10,0.09891747319779824,0.0013805088358554661,0.09849646499787923,0.0981858777377056,0.1000555142381927,20305.414773859386
4,10,insert,async,10,0.029197889400529677,0.008246104635983026,0.027368122508050874,0.025071923504583538,0.029147333480068482,1461.859686526091
4,10,insert,sync,10,0.02995909829332959,0.003566942954533813,0.028570870985276997,0.027380874991649762,0.03210769450379303,1401.2074243296238
4,10,read,async,10,0.008446032702340744,0.0007969351098395558,0.008125419000862166,0.008021898996958043,0.008687600260600448,4922.972872005363
4,10,read,sync,10,0.004277491397806444,0.00026388382635108404,0.0042905390000669286,0.004072505988006014,0.004404755745781586,9322.92558106755
4,100,insert,async,10,0.1254938517988194,0.003569290449152247,0.12541513649921399,0.12402060224849265,0.12644094074494205,3189.4706679129504
4,100,insert,sync,10,0.19922359120391775,0.00854223839825803,0.1984922335104784,0.1937628905143356,0.20315524675970664,2016.2090325243444
4,100,read,async,10,0.028393997403327376,0.008070431238417386,0.023617695507709868,0.023351926742179785,0.03453897949657403,16936.479063044833
4,100,read,sync,10,0.02141196849697735,0.0053023052646695166,0.019127548002870753,0.018948726494272705,0.01934508948761504,20912.613539252845
4,1000,insert,async,10,1.1480678071908188,0.021087596015636735,1.1532835619873367,1.1352448777615791,1.1596600257398677,3468.363219039943
4,1000,insert,sync,10,2.163406490799389,0.0503093848437624,2.1648113709961763,2.1362693007322378,2.185050280262658,1847.7660036493571
4,1000,read,async,10,0.20978559619979933,0.008745933266163885,0.20986828398599755,0.20330557051784126,0.21612023373745615,19067.739254305496
4,1000,read,sync,10,0.19690483200829476,0.006851266822046018,0.19661835100851022,0.19482073425751878,0.20038817826571176,20344.57708833202
8,10,insert,async,10,0.04185535409778822,0.007164043686893658,0.04007774648198392,0.0386301162361633,0.04171124051208608,1996.5615058118997
8,10,insert,sync,10,0.04988852700043935,0.004831855129653373,0.050961360495421104,0.049790028991992585,0.05255143901013071,1569.8309330329039
8,10,read,async,10,0.016687010903842746,0.004914970404910135,0.014861008996376768,0.014542708013323136,0.016836663737194613,5384.1043230829655
8,10,read,sync,10,0.008512199702090583,0.0003123721444914198,0.008504789002472535,0.008295083505799994,0.00873669923748821,9406.56274618747
8,100,insert,async,10,0.23116272460320034,0.005329440595943364,0.23072263650828972,0.22773363826127024,0.23257237000507303,3467.454890869607
8,100,insert,sync,10,0.37561471390654333,0.013363855187346868,0.37531019750167616,0.36479173749830807,0.38654901402333053,2132.069794507948
8,100,read,async,10,0.057037103304173796,0.009138169580755423,0.05712737501016818,0.050047097756760195,0.06291295250412077,14017.870943862868
8,100,read,sync,10,0.04210086970124394,0.0073198606535591895,0.038452296998002566,0.03720272351347376,0.047604172737919725,20805.407985652048
8,1000,insert,async,10,2.2955687667941675,0.09506760342261651,2.268898817987065,2.2521294389953255,2.302390100485354,3526.003183763325
8,1000,insert,sync,10,3.743310196202947,0.07039029796383568,3.7278914810012793,3.7187914167589042,3.761565130749659,2145.985281386321
8,1000,read,async,10,0.4631964130036067,0.029316346228760757,0.4657217890053289,0.43816180525755044,0.4849593010148965,17180.750078587407
8,1000,read,sync,10,0.4038854648999404,0.01303256300433785,0.40079037050600164,0.3950303435121896,0.40933823974773986,19961.249209163936
