run_id,p4_program,packet_size_bytes,background_load_mbps,probe_layer,cold_idle_reference,n_probes,probe_interval_ms,repetition,schedule_index,probes_sent,probes_received,probes_lost,probe_loss_pct,median_us,iqr_us,p99_us
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l2_forward,1500,25,l2,False,1000,60.0,3,52,1000,1000,0,0.0,80.0,12.0,137.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l2_forward,1500,25,l2,False,1000,60.0,4,150,1000,1000,0,0.0,80.0,12.0,145.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l2_forward,1500,45,l2,False,1000,60.0,0,154,1000,1000,0,0.0,79.0,9.0,162.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l2_forward,1500,45,l2,False,1000,60.0,1,91,1000,1000,0,0.0,78.0,9.0,165.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l2_forward,1500,45,l2,False,1000,60.0,2,38,1000,1000,0,0.0,80.0,15.0,179.0
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l2_forward,1500,45,l2,False,1000,60.0,3,54,1000,1000,0,0.0,79.0,10.0,168.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l2_forward,1500,45,l2,False,1000,60.0,4,5,1000,1000,0,0.0,81.0,12.0,161.01999999999998
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,1,l3,False,1000,60.0,0,114,1000,1000,0,0.0,102.0,10.0,162.1199999999999
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,1,l3,False,1000,60.0,1,117,1000,1000,0,0.0,100.0,14.0,177.03999999999996
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,1,l3,False,1000,60.0,2,115,1000,1000,0,0.0,98.0,11.0,153.16999999999985
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,1,l3,False,1000,60.0,3,122,1000,1000,0,0.0,99.0,14.0,157.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,1,l3,False,1000,60.0,4,132,1000,1000,0,0.0,99.0,17.0,177.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,25,l3,False,1000,60.0,0,162,1000,1000,0,0.0,96.0,14.0,181.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,25,l3,False,1000,60.0,1,86,1000,1000,0,0.0,95.0,10.0,170.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,25,l3,False,1000,60.0,2,48,1000,1000,0,0.0,94.0,11.0,173.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,25,l3,False,1000,60.0,3,36,1000,1000,0,0.0,95.0,14.0,174.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,25,l3,False,1000,60.0,4,69,1000,1000,0,0.0,94.0,10.0,183.0
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,45,l3,False,1000,60.0,0,168,1000,1000,0,0.0,97.0,20.0,238.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,45,l3,False,1000,60.0,1,159,1000,1000,0,0.0,95.0,15.0,219.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,45,l3,False,1000,60.0,2,179,1000,1000,0,0.0,100.0,24.0,232.07999999999993
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,45,l3,False,1000,60.0,3,129,1000,1000,0,0.0,96.0,16.0,204.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,64,45,l3,False,1000,60.0,4,167,1000,1000,0,0.0,97.0,19.0,208.01999999999998
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,0,l3,True,1000,60.0,0,12,1000,1000,0,0.0,413.5,119.0,974.5699999999995
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,0,l3,True,1000,60.0,1,46,1000,1000,0,0.0,402.0,126.25,846.0
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,0,l3,True,1000,60.0,2,164,1000,1000,0,0.0,410.5,133.25,868.0699999999999
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,0,l3,True,1000,60.0,3,93,1000,1000,0,0.0,420.0,168.25,939.2099999999998
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,0,l3,True,1000,60.0,4,29,1000,1000,0,0.0,389.0,115.25,880.5899999999995
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,1,l3,False,1000,60.0,0,49,1000,1000,0,0.0,96.0,9.0,148.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,1,l3,False,1000,60.0,1,28,1000,1000,0,0.0,98.0,10.0,182.18999999999983
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,1,l3,False,1000,60.0,2,180,1000,1000,0,0.0,98.0,7.0,151.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,1,l3,False,1000,60.0,3,79,1000,1000,0,0.0,97.0,12.0,159.1099999999999
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,1,l3,False,1000,60.0,4,31,1000,1000,0,0.0,105.0,15.0,188.03999999999996
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,25,l3,False,1000,60.0,0,40,1000,1000,0,0.0,96.0,15.25,174.03999999999996
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,25,l3,False,1000,60.0,1,7,1000,1000,0,0.0,95.0,10.25,176.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,25,l3,False,1000,60.0,2,141,1000,1000,0,0.0,94.0,11.0,177.02999999999997
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,25,l3,False,1000,60.0,3,103,1000,1000,0,0.0,94.0,11.0,176.01
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,25,l3,False,1000,60.0,4,33,1000,1000,0,0.0,94.0,10.0,178.0
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,45,l3,False,1000,60.0,0,181,1000,1000,0,0.0,96.0,21.0,223.01999999999998
f4f5fe32-df82-439c-8c61-c6f8f662cdee,l3_lpm,256,45,l3,False,1000,60.0,1,156,1000,1000,0,0.0,94.0,13.0,204.01
