run_id,p4_program,topology,n_switches,background_load_mbps,packet_size_bytes,n_probes,probe_interval_ms,repetition,schedule_index,probes_sent,probes_received,probes_lost,probe_loss_pct,n_samples,mean_us,std_us,median_us,iqr_us,p1_us,p99_us,abs_mean_us,abs_std_us,abs_median_us,abs_iqr_us,abs_p99_us,per_hop_n,per_hop_abs_mean_us
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,0,256,1000,60.0,3,18,1000,1000,0,0.0,1000,-7820.2385,127.39397392475966,-7821.0,162.625,-8127.55,-7464.955,7820.2385,127.39397392475966,7821.0,162.625,8127.55,2000,7820.2385
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,0,256,1000,60.0,4,0,1000,1000,0,0.0,1000,-4736.8075,120.45377871431246,-4737.75,138.125,-5056.02,-4433.495,4736.8075,120.45377871431246,4737.75,138.125,5056.02,2000,4736.8075
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,25,256,1000,60.0,0,29,1000,999,1,0.1,999,-3902.713713713714,558.1058491898485,-3937.0,61.5,-3979.51,-3734.7000000000003,3929.924924924925,313.26185828005856,3937.0,61.5,3980.02,1998,3931.943943943944
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,25,256,1000,60.0,1,13,1000,1000,0,0.0,1000,-3941.02,24.114354689729975,-3943.75,7.5,-3962.505,-3883.965,3941.02,24.114354689729975,3943.75,7.5,3962.505,2000,5575.898
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,25,256,1000,60.0,2,4,1000,1000,0,0.0,1000,-1781.4765,60.64442632422368,-1787.0,8.0,-1802.005,-1707.48,1781.4765,60.64442632422368,1787.0,8.0,1802.005,2000,2988.6265
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,25,256,1000,60.0,3,26,1000,1000,0,0.0,1000,-7497.909,9.289995856997086,-7499.0,6.5,-7512.505,-7461.48,7497.909,9.289995856997086,7499.0,6.5,7512.505,2000,7497.909
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,25,256,1000,60.0,4,23,1000,1000,0,0.0,1000,-5371.084,9.35914192314325,-5372.5,7.0,-5384.005,-5337.5,5371.084,9.35914192314325,5372.5,7.0,5384.005,2000,6188.408
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,45,256,1000,60.0,0,11,1000,1000,0,0.0,1000,-2651.3405,56.97780076073075,-2655.0,20.0,-2683.51,-2599.46,2651.3405,56.97780076073075,2655.0,20.0,2683.51,2000,5136.3555
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,45,256,1000,60.0,1,3,1000,1000,0,0.0,1000,-3444.687,17.50642756264127,-3447.0,19.625,-3474.0,-3380.475,3444.687,17.50642756264127,3447.0,19.625,3474.0,2000,3444.957
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,45,256,1000,60.0,2,15,1000,1000,0,0.0,1000,-2482.537,15.606431100405107,-2484.0,18.0,-2511.5,-2429.995,2482.537,15.606431100405107,2484.0,18.0,2511.5,2000,6233.887
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,45,256,1000,60.0,3,21,1000,1000,0,0.0,1000,-3660.936,14.742141456882537,-3662.5,18.0,-3689.005,-3615.995,3660.936,14.742141456882537,3662.5,18.0,3689.005,2000,4443.311
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,45,256,1000,60.0,4,12,1000,1000,0,0.0,1000,-323.5415,17.991045146279173,-325.5,20.125,-359.01,-269.475,323.5415,17.991045146279173,325.5,20.125,359.01,2000,1469.7915
