run_id,p4_program,topology,n_switches,background_load_mbps,rate_mbps,source_workload_type,duration_s,resource_sample_interval_s,metric,n_reps,n_samples_median,n_samples_min,n_samples_max,mean_median,mean_min,mean_max,std_median,std_min,std_max,median_median,median_min,median_max,iqr_median,iqr_min,iqr_max,p5_median,p5_min,p5_max,p95_median,p95_min,p95_max,p99_median,p99_min,p99_max,max_median,max_min,max_max
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,5,601.0,601.0,601.0,6.321963394342762,6.141930116472546,7.405990016638935,7.644091269514063,6.92395480478157,8.289159430237795,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,20.0,20.0,20.0,30.0,20.2,30.0,40.0,30.0,40.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,1,1,resource_only,60.0,0.1,cpu_percent_total,5,601.0,601.0,601.0,6.730116472545757,6.6143094841930115,6.763227953410982,0.6578136529418284,0.5205717024514813,0.8125652156087563,6.6,6.3,6.8,0.6000000000000005,0.6000000000000005,0.6000000000000005,6.2,6.2,6.3,7.5,7.5,7.7,8.6,8.1,9.9,12.4,10.6,15.1
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,5,601.0,601.0,601.0,344.78104178110095,344.704916623039,374.0644213576384,23.625738530982236,22.961406845331826,705.2997899065964,359.7011207230134,359.58531541705395,359.7298356852889,39.8741655620488,39.798822923224634,39.92195815523144,319.7059855668955,319.64752459553836,319.81664917093696,360.49777891359355,360.40049860711775,360.7705264328236,365.77240059380756,364.681060702789,368.7813098723103,396.1043924598956,377.4152927755934,17630.04956120374
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,5,601.0,601.0,601.0,167247872.0,166199296.0,167510016.0,0.0,0.0,0.0,167247872.0,166199296.0,167510016.0,0.0,0.0,0.0,167247872.0,166199296.0,167510016.0,167247872.0,166199296.0,167510016.0,167247872.0,166199296.0,167510016.0,167247872.0,166199296.0,167510016.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,5,601.0,601.0,601.0,171.0479201331115,169.08519134775375,173.74359400998335,14.382950549184173,13.552050164888646,15.580549724840607,170.0,170.0,170.2,20.0,19.69999999999999,20.0,150.0,150.0,150.0,190.0,190.0,199.7,200.2,199.7,200.3,210.3,209.7,259.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_total,5,601.0,601.0,601.0,16.716638935108154,10.11946755407654,20.746256239600665,1.3157771028405236,0.9634781406784323,2.043372306432557,16.6,9.7,20.7,1.5999999999999996,1.0999999999999979,1.8000000000000007,14.8,8.3,19.5,18.8,12.8,22.0,20.2,15.7,22.8,25.0,22.7,31.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,5,601.0,601.0,601.0,15631.059182378021,15578.729526391468,15659.706152499615,2265.184159969194,981.2532587673497,2971.6800989731014,15532.420263338132,15530.575407680302,15539.18854517404,39.69974827536498,37.963697607316135,39.993850604363615,15493.315724674934,15481.984015137758,15503.455098517561,15583.09139426045,15571.963314125604,15597.5929807336,15610.374023956778,15607.564437376626,15617.01480397912,71062.19042804034,39584.47644983858,88312.39944187475
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,5,601.0,601.0,601.0,167832352.7986689,167772160.0,169203265.59733778,48659.374393060105,0.0,65372.22798223313,167772160.0,167772160.0,169213952.0,0.0,0.0,131072.0,167772160.0,167772160.0,169082880.0,167903232.0,167772160.0,169213952.0,167903232.0,167772160.0,169213952.0,167903232.0,167772160.0,169213952.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,5,601.0,600.0,601.0,12.417666666666667,12.117637271214642,12.726955074875207,10.714607065271261,10.09225057861436,10.896998594538974,10.0,10.0,10.0,20.0,20.0,20.0,0.0,0.0,0.0,30.0,30.0,30.0,40.0,40.0,40.0,50.0,50.0,60.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_total,5,601.0,600.0,601.0,7.325291181364393,6.985666666666666,7.627287853577371,0.5975443833491382,0.5870283007931637,0.908887607661782,7.5,6.9,7.5,0.5999999999999996,0.5999999999999996,1.1999999999999993,6.3,6.3,6.8,8.1,7.5,8.904999999999996,8.7,8.203999999999995,9.906999999999995,13.0,11.9,16.5
