n_switches,background_load_mbps,n_samples,mean_us,std_us,median_us,p1_us,p99_us,abs_mean_us,abs_p99_us,per_hop_n,per_hop_abs_mean_us
2,0,1000,-4919.353,223.59070014692514,-4927.0,-5229.0,-4383.88,4919.353,5229.0,1000,4919.353
2,25,1000,-301.039,23669.454680417704,-1059.0,-1095.0,-928.97,1802.191,1096.01,1000,1802.191
2,45,1000,-6903.771,21.742384650499822,-6909.0,-6939.02,-6819.0,6903.771,6939.02,1000,6903.771
3,0,1000,-1572.7425,153.92367570225088,-1550.25,-1853.015,-1244.97,1572.7425,1853.0149999999999,2000,2017.9725
3,25,1000,-1886.7865,17.528802773625948,-1888.5,-1914.005,-1822.475,1886.7865,1914.005,2000,1886.9255
3,45,999,-2456.2547547547547,20.300878459993047,-2459.5,-2488.52,-2380.45,2456.2547547547547,2488.52,1998,4696.668168168168
