rq,p4_program,packet_size_bytes,background_load_mbps,cold_idle_reference,median_us_rep1,median_us_rep2,delta_us,delta_pct_us,within_5pct_us,within_10pct_us,within_20pct_us,n_samples_rep1,mean_us_rep1,std_us_rep1,p25_us_rep1,p75_us_rep1,p99_us_rep1,p999_us_rep1,n_samples_rep2,mean_us_rep2,std_us_rep2,p25_us_rep2,p75_us_rep2,p99_us_rep2,p999_us_rep2,n_switches,n_entries_per_switch,operation,mode,median_s_rep1,median_s_rep2,delta_s,delta_pct_s,within_5pct_s,within_10pct_s,within_20pct_s,n_reps_rep1,mean_s_rep1,std_s_rep1,p25_s_rep1,p75_s_rep1,median_entries_per_sec_rep1,n_reps_rep2,mean_s_rep2,std_s_rep2,p25_s_rep2,p75_s_rep2,median_entries_per_sec_rep2,abs_mean_us_rep1,abs_mean_us_rep2,p1_us_rep1,abs_p99_us_rep1,per_hop_n_rep1,per_hop_abs_mean_us_rep1,p1_us_rep2,abs_p99_us_rep2,per_hop_n_rep2,per_hop_abs_mean_us_rep2,topology,source_workload_type,metric,mean_rep1,mean_rep2,delta_value,delta_pct_value,within_5pct_value,within_10pct_value,within_20pct_value,max_rep1,std_rep1,p5_rep1,p95_rep1,max_rep2,std_rep2,p5_rep2,p95_rep2
rq1,l3_lpm,256.0,25.0,False,102.0,91.0,-11.0,-10.784313725490197,False,False,True,1000.0,119.888,92.67464618786546,92.0,125.0,318.0,1298.0610000000956,1100.0,100.35090909090908,32.7259076424159,86.0,104.0,201.16999999999985,400.4060000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm,256.0,45.0,False,96.0,91.0,-5.0,-5.208333333333333,False,True,True,1000.0,107.392,35.013029692505164,90.75,111.0,234.05999999999997,427.0090000000008,1100.0,101.66272727272728,43.04710871282039,84.0,105.0,221.02,290.6340000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm,1500.0,1.0,False,119.0,96.0,-23.0,-19.327731092436974,False,False,True,1000.0,131.26,49.57198585674959,108.0,136.0,383.0799999999999,498.234000000021,1000.0,112.783,328.81168932694294,91.0,107.0,202.50999999999956,732.729000000876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm,1500.0,25.0,False,98.0,92.0,-6.0,-6.122448979591836,False,True,True,1000.0,105.872,33.01823465632013,91.0,110.0,218.1099999999999,419.1100000000099,1000.0,102.696,121.59556350897456,86.0,102.0,206.25999999999976,587.2270000002906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm,1500.0,45.0,False,98.0,92.0,-6.0,-6.122448979591836,False,True,True,1000.0,111.213,47.864586592277696,92.0,112.0,270.15999999999985,688.0010000000001,1000.0,104.301,65.29528216397317,85.0,105.0,217.03,680.0230000000921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_acl,64.0,1.0,False,113.0,105.0,-8.0,-7.079646017699115,False,True,True,1000.0,132.21,109.29000963585924,106.0,132.0,405.0899999999999,1874.5990000000536,1000.0,114.228,33.63390038718755,98.0,117.0,260.0799999999999,406.1480000000133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_acl,64.0,25.0,False,107.0,98.0,-9.0,-8.411214953271028,False,True,True,1000.0,122.028,129.73537097677905,100.0,126.0,253.12999999999988,522.5440000003191,1000.0,106.652,36.076313508954826,93.0,109.0,200.02,608.0650000000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_acl,64.0,45.0,False,104.0,99.0,-5.0,-4.8076923076923075,True,True,True,1000.0,123.807,51.152598559011054,98.0,124.0,331.04999999999995,426.0430000000039,1000.0,112.917,40.23631533915689,93.0,114.0,258.01,400.011000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_acl,256.0,1.0,False,152.0,103.0,-49.0,-32.23684210526316,False,False,False,1000.0,168.195,63.41555414492179,129.0,186.0,427.05,633.0280000000025,1000.0,109.185,26.20388174332991,97.0,113.0,240.04,326.12600000001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_acl,256.0,25.0,False,116.5,98.0,-18.5,-15.879828326180258,False,False,True,1000.0,131.175,47.79865150907592,104.0,144.0,307.04,584.0430000000039,1000.0,105.8,29.473695029614092,92.0,109.0,219.18999999999983,334.0520000000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
