run_id,p4_program,topology,n_switches,background_load_mbps,packet_size_bytes,n_probes,probe_interval_ms,n_reps,probes_sent_median,probes_sent_min,probes_sent_max,probes_received_median,probes_received_min,probes_received_max,probes_lost_median,probes_lost_min,probes_lost_max,probe_loss_pct_median,probe_loss_pct_min,probe_loss_pct_max,n_samples_median,n_samples_min,n_samples_max,mean_us_median,mean_us_min,mean_us_max,std_us_median,std_us_min,std_us_max,median_us_median,median_us_min,median_us_max,iqr_us_median,iqr_us_min,iqr_us_max,p1_us_median,p1_us_min,p1_us_max,p99_us_median,p99_us_min,p99_us_max,abs_mean_us_median,abs_mean_us_min,abs_mean_us_max,abs_std_us_median,abs_std_us_min,abs_std_us_max,abs_median_us_median,abs_median_us_min,abs_median_us_max,abs_iqr_us_median,abs_iqr_us_min,abs_iqr_us_max,abs_p99_us_median,abs_p99_us_min,abs_p99_us_max,per_hop_n_median,per_hop_n_min,per_hop_n_max,per_hop_abs_mean_us_median,per_hop_abs_mean_us_min,per_hop_abs_mean_us_max
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,2,0,256,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,-7449.122,-11267.689,-4233.889,156.80050865834434,145.17139554707424,224.1611136747047,-7454.0,-11277.0,-4253.5,147.0,109.0,194.25,-7761.0,-11618.01,-4538.01,-7072.67,-10886.710000000001,-3813.99,7449.122,4234.341,11267.689,156.80050865834434,145.17139554707424,215.44543033550852,7454.0,4253.5,11277.0,147.0,109.0,194.25,7761.0,4538.01,11618.01,1000.0,1000.0,1000.0,7449.122,4234.341,11267.689
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,2,25,256,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,-6003.064,-12777.042,181.678,20.223693351432445,14.076735078507035,21.637199550875444,-6006.0,-12782.0,179.0,9.0,8.0,10.0,-6027.0,-12798.0,163.97,-5956.99,-12675.95,229.0,6003.064,181.678,12777.042,20.223693351432445,14.076735078507035,21.637199550875444,6006.0,179.0,12782.0,9.0,8.0,10.0,6027.0,229.0,12798.0,1000.0,1000.0,1000.0,6003.064,181.678,12777.042
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,2,45,256,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,997.0,1000.0,0.0,0.0,3.0,0.0,0.0,0.3,1000.0,997.0,1000.0,-9995.526,-13480.838,103.45135406218655,28.8985273133577,21.92938562645917,150.25689811919327,-10002.0,-13487.5,89.0,22.0,21.0,23.0,-10032.0,-13516.02,57.96,-9907.86,-13391.91,219.35999999999967,9995.526,103.45135406218655,13480.838,28.8985273133577,21.92938562645917,150.25689811919327,10002.0,89.0,13487.5,22.0,21.0,23.0,10032.0,219.35999999999967,13516.02,1000.0,997.0,1000.0,9995.526,103.45135406218655,13480.838
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,0,256,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,-4736.8075,-7820.2385,223.7725,127.39397392475966,114.61701686182685,147.2748858971414,-4737.75,-7821.0,218.0,148.25,134.125,162.625,-5056.02,-8127.55,-75.53,-4433.495,-7464.955,500.025,4736.8075,226.7795,7820.2385,127.39397392475966,108.53982920695184,147.2748858971414,4737.75,218.0,7821.0,148.25,134.125,162.625,5056.02,500.025,8127.55,2000.0,2000.0,2000.0,4736.8075,777.7315,7820.2385
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,25,256,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,999.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.1,1000.0,999.0,1000.0,-3941.02,-7497.909,-1781.4765,24.114354689729975,9.289995856997086,558.1058491898485,-3943.75,-7499.0,-1787.0,7.5,6.5,61.5,-3979.51,-7512.505,-1802.005,-3883.965,-7461.48,-1707.48,3941.02,1781.4765,7497.909,24.114354689729975,9.289995856997086,313.26185828005856,3943.75,1787.0,7499.0,7.5,6.5,61.5,3980.02,1802.005,7512.505,2000.0,1998.0,2000.0,5575.898,2988.6265,7497.909
51661e3f-940f-499d-8e24-95d9b2b70878,l3_lpm_int_chain,linear_n,3,45,256,1000,60.0,5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,-2651.3405,-3660.936,-323.5415,17.50642756264127,14.742141456882537,56.97780076073075,-2655.0,-3662.5,-325.5,19.625,18.0,20.125,-2683.51,-3689.005,-359.01,-2599.46,-3615.995,-269.475,2651.3405,323.5415,3660.936,17.50642756264127,14.742141456882537,56.97780076073075,2655.0,325.5,3662.5,19.625,18.0,20.125,2683.51,359.01,3689.005,2000.0,2000.0,2000.0,4443.311,1469.7915,6233.887
