p4_program,packet_size_bytes,background_load_mbps,cold_idle_reference,n_samples,mean_us,std_us,median_us,p25_us,p75_us,p99_us,p999_us
l2_forward,64,1,False,1000,128.072,159.0951982245162,110.0,97.0,131.0,330.03999999999996,3029.9520000000857
l2_forward,64,25,False,1000,90.991,31.288334549459147,83.0,77.0,96.0,194.05999999999995,418.122000000011
l2_forward,64,45,False,1000,88.268,29.81662635522683,80.0,74.0,92.0,209.01999999999998,367.01300000000117
l2_forward,256,1,False,1000,127.301,70.15766884309582,113.0,99.0,133.0,352.0,1227.0050000000006
l2_forward,256,25,False,1000,88.518,34.04886196337553,81.0,75.0,92.0,218.02999999999997,435.24400000002197
l2_forward,256,45,False,1000,99.493,38.51905591611337,87.0,78.0,110.0,269.01,341.11700000001053
l2_forward,1500,1,False,1000,107.828,43.90487506022599,98.0,90.0,113.0,265.16999999999985,607.1260000000113
l2_forward,1500,25,False,1000,99.227,51.362394478514794,87.0,78.0,105.0,257.03999999999996,851.067000000006
l2_forward,1500,45,False,1000,91.193,39.26361397505816,82.0,76.0,93.0,199.0,544.2870000000258
l3_lpm,64,1,False,1000,137.214,194.25776247625805,117.0,106.0,135.0,381.0,4166.210000000019
l3_lpm,64,25,False,1000,104.263,25.292836111408278,98.0,90.0,109.0,194.01,259.0120000000011
l3_lpm,64,45,False,1000,109.757,117.34630845112729,96.0,90.0,108.25,224.08999999999992,454.2010000002882
l3_lpm,256,0,True,1000,565.249,191.72305737633576,585.5,470.0,679.25,1051.02,1295.288000000026
l3_lpm,256,1,False,1000,142.449,89.79393269786856,125.0,110.0,145.0,502.15999999999985,1357.2170000000197
l3_lpm,256,25,False,1000,119.888,92.67464618786546,102.0,92.0,125.0,318.0,1298.0610000000956
l3_lpm,256,45,False,1000,107.392,35.013029692505164,96.0,90.75,111.0,234.05999999999995,427.0090000000008
l3_lpm,1500,1,False,1000,131.26,49.57198585674959,119.0,108.0,136.0,383.0799999999999,498.23400000002107
l3_lpm,1500,25,False,1000,105.872,33.01823465632013,98.0,91.0,110.0,218.1099999999999,419.1100000000099
l3_lpm,1500,45,False,1000,111.213,47.864586592277696,98.0,92.0,112.0,270.15999999999985,688.0010000000001
l3_lpm_acl,64,1,False,1000,132.21,109.29000963585925,113.0,106.0,132.0,405.0899999999999,1874.5990000000538
l3_lpm_acl,64,25,False,1000,122.028,129.73537097677905,107.0,100.0,126.0,253.12999999999988,522.5440000003191
l3_lpm_acl,64,45,False,1000,123.807,51.152598559011054,104.0,98.0,124.0,331.04999999999995,426.0430000000039
l3_lpm_acl,256,1,False,1000,168.195,63.41555414492179,152.0,129.0,186.0,427.04999999999995,633.0280000000025
l3_lpm_acl,256,25,False,1000,131.175,47.798651509075924,116.5,104.0,144.0,307.03999999999996,584.0430000000039
l3_lpm_acl,256,45,False,1000,120.787,55.42220901635239,104.0,98.0,120.0,276.03,612.4760000000429
l3_lpm_acl,1500,1,False,1000,142.955,82.6073662087828,129.0,116.0,148.0,366.1199999999999,1567.2870000000257
l3_lpm_acl,1500,25,False,1000,115.391,54.067989295575494,105.0,98.0,119.0,254.0,354.1470000001033
l3_lpm_acl,1500,45,False,1000,120.713,80.101916006722,104.0,97.0,123.0,266.01,340.966000000177
l3_lpm_int,64,1,False,2000,133.836,122.3611508184473,117.0,105.0,139.0,408.01,1026.09800000002
l3_lpm_int,64,25,False,2000,107.3065,42.68578915807958,100.0,93.0,111.0,239.06999999999994,575.059000000012
l3_lpm_int,64,45,False,2000,113.8745,93.7511727443741,99.0,92.75,112.0,255.02999999999997,1649.0230000000047
l3_lpm_int,256,1,False,2000,142.9965,171.51806526166726,118.5,105.0,142.0,432.2199999999998,2169.68800000014
l3_lpm_int,256,25,False,2000,110.18,38.68484016290121,100.0,94.0,114.0,279.17999999999984,490.0210000000043
l3_lpm_int,256,45,False,1999,114.97698849424712,94.82401628701544,100.0,92.0,113.0,278.05999999999995,1501.700000000063
l3_lpm_int,1500,1,False,2000,132.891,75.03040650263048,117.0,106.0,135.0,414.02,1071.0160000000033
l3_lpm_int,1500,25,False,2000,108.023,37.44467282219703,99.0,92.0,111.0,243.06999999999994,394.17100000003484
l3_lpm_int,1500,45,False,2000,114.5945,47.78561292011515,100.0,93.0,118.0,270.01,520.2580000000526
