source_file,run_id,first_timestamp_utc,last_timestamp_utc,total_records,rq1_records,rq2_records,rq3_records,rq4_records
rq1_full_rep1_123e0b75-b1f0-451f-9d38-1123a53ebcac.jsonl,123e0b75-b1f0-451f-9d38-1123a53ebcac,2026-05-18T14:31:54Z,2026-05-18T15:51:50Z,132183,36999,0,0,95184
rq1_int_backfill_rep1_ec5964ba-69e5-4537-99f2-d85a9c5ddfc5.jsonl,ec5964ba-69e5-4537-99f2-d85a9c5ddfc5,2026-05-18T15:54:01Z,2026-05-18T16:11:54Z,32148,9000,0,0,23148
rq1_rq2_pilot_9807c695-450b-42e3-8caa-b5b74fee545c.jsonl,9807c695-450b-42e3-8caa-b5b74fee545c,2026-05-18T13:54:59Z,2026-05-18T14:29:39Z,8948,500,20,300,8128
rq2_full_rep1_d30ca8cf-e052-4dca-8798-f68aab38b440.jsonl,d30ca8cf-e052-4dca-8798-f68aab38b440,2026-05-18T16:12:32Z,2026-05-18T17:41:21Z,11168,0,420,0,10748
rq3_full_rep1_51d63f3b-51bb-4ea7-9b76-000c5121ae3d.jsonl,51d63f3b-51bb-4ea7-9b76-000c5121ae3d,2026-05-18T17:43:11Z,2026-05-18T17:54:21Z,21524,0,0,6000,15524
rq4_full_rep1_793a5ce1-debd-4021-9ed7-a72cf0027877.jsonl,793a5ce1-debd-4021-9ed7-a72cf0027877,2026-05-18T17:56:29Z,2026-05-18T18:11:21Z,19228,0,0,0,19228
