p4_program,topology,n_switches,background_load_mbps,source_workload_type,metric,n_samples,mean,max,std,p5,p95
l3_lpm,linear_n,8,45,resource_only,cpu_percent_total,601,51.258402662229614,66.4,3.2715083337190047,47.7,56.9
l3_lpm,linear_n,8,45,resource_only,net_io_pps_per_iface,601,31349.512625614097,197059.26416059915,6775.255837227041,30850.73301396984,31326.360505627854
l3_lpm,linear_n,8,45,resource_only,rss_per_bmv2_bytes,601,342778578.42262894,343277568.0,724019.2861381809,340787200.0,343277568.0
l3_lpm,single_switch,1,0,latency_l3,cpu_percent_per_bmv2,655,1.7250381679389315,10.1,3.780876832683557,0.0,10.0
l3_lpm,single_switch,1,0,latency_l3,cpu_percent_total,655,0.9725190839694656,7.5,0.9004291735059946,0.0,2.5
l3_lpm,single_switch,1,0,latency_l3,net_io_pps_per_iface,655,16.29022925455351,40.02416017884524,6.960728246247235,0.0,29.95576067159136
l3_lpm,single_switch,1,0,latency_l3,rss_per_bmv2_bytes,655,42205184.0,42205184.0,0.0,42205184.0,42205184.0
l3_lpm,single_switch,1,1,latency_l3,cpu_percent_per_bmv2,1931,3.0400828586224753,20.2,4.948870054040997,0.0,10.0
l3_lpm,single_switch,1,1,latency_l3,cpu_percent_total,1931,7.391248058001036,14.6,1.0899451172616903,6.3,8.8
l3_lpm,single_switch,1,1,latency_l3,net_io_pps_per_iface,1931,102.76077827048785,130.08237073786495,9.432981638442323,89.95472040739625,110.54543280504389
l3_lpm,single_switch,1,1,latency_l3,rss_per_bmv2_bytes,1931,42379901.41481098,42467328.0,123623.87079469142,42205184.0,42467328.0
l3_lpm,single_switch,1,1,resource_only,cpu_percent_per_bmv2,601,3.128452579034942,20.0,4.85144711416063,0.0,10.0
l3_lpm,single_switch,1,1,resource_only,cpu_percent_total,601,6.715806988352745,8.7,0.5380827594503919,6.2,7.5
l3_lpm,single_switch,1,1,resource_only,net_io_pps_per_iface,601,86.17307614879606,91.58984583758406,5.972278280093903,79.91987471003537,90.10081379200336
l3_lpm,single_switch,1,1,resource_only,rss_per_bmv2_bytes,601,42074112.0,42074112.0,0.0,42074112.0,42074112.0
l3_lpm,single_switch,1,25,latency_l3,cpu_percent_per_bmv2,1933,24.941179513709262,60.0,6.521566472086998,20.0,30.1
l3_lpm,single_switch,1,25,latency_l3,cpu_percent_total,1933,11.748266942576306,34.4,3.1438960128930638,6.5,15.8
l3_lpm,single_switch,1,25,latency_l3,net_io_pps_per_iface,1933,2181.649742879727,14558.86776455979,295.1139330236292,2158.772962258715,2190.3521917560474
l3_lpm,single_switch,1,25,latency_l3,rss_per_bmv2_bytes,1933,42686007.358510084,43122688.0,309099.4493612816,42467328.0,43122688.0
l3_lpm,single_switch,1,45,latency_l3,cpu_percent_per_bmv2,1931,34.51066804764371,60.0,6.014931345174262,30.0,40.0
l3_lpm,single_switch,1,45,latency_l3,cpu_percent_total,1931,10.856240290005179,22.0,4.142138587115753,6.65,17.6
l3_lpm,single_switch,1,45,latency_l3,net_io_pps_per_iface,1931,3932.670444241569,25019.39244719519,798.4182870095295,3887.6441853043707,3914.146921372978
l3_lpm,single_switch,1,45,latency_l3,rss_per_bmv2_bytes,1931,42642045.41481098,42729472.0,61787.91676990017,42598400.0,42729472.0
l3_lpm,single_switch,1,45,resource_only,cpu_percent_per_bmv2,601,34.89134775374376,70.0,7.349781743734466,20.0,49.9
