run_id,p4_program,topology,n_switches,background_load_mbps,rate_mbps,source_workload_type,duration_s,resource_sample_interval_s,metric,repetition,schedule_index,n_samples,mean,std,median,iqr,p5,p95,p99,max
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,2,37,601,173.11530782029948,14.95398047165889,170.0,19.900000000000006,150.0,190.5,200.3,210.3
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,3,13,601,170.06522462562396,14.307922234125838,170.0,20.0,150.0,190.0,200.2,219.7
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,4,24,601,169.08519134775375,13.552050164888646,170.0,20.0,150.0,190.0,199.7,209.7
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_total,0,36,601,20.746256239600665,0.9634781406784323,20.7,1.0999999999999979,19.5,22.0,22.8,25.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_total,1,25,601,10.11946755407654,2.043372306432557,9.7,1.8000000000000007,8.3,12.8,17.8,31.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_total,2,37,601,12.942096505823628,1.1626728963919462,12.7,1.5,11.4,14.8,15.7,22.7
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_total,3,13,601,16.716638935108154,1.3389757345628777,16.6,1.5999999999999996,14.8,18.8,20.2,24.5
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,cpu_percent_total,4,24,601,18.821131447587355,1.3157771028405236,18.6,1.6000000000000014,17.0,21.0,21.6,26.2
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,0,36,601,15578.729526391468,981.2532587673497,15532.14318529156,39.69974827536498,15493.315724674934,15584.9710408082,15617.01480397912,39584.47644983858
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,1,25,601,15652.994564251432,2804.428335327722,15537.79642794487,39.92555484152399,15493.173779171651,15583.09139426045,15610.374023956778,84286.38114948697
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,2,37,601,15631.059182378021,2265.184159969194,15532.420263338132,39.56036026499169,15503.455098517561,15571.963314125604,15607.564437376626,71062.19042804034
